#25.973300
Time, MSD
0.000000, 0.006070
0.001000, 0.012246
0.002000, 0.018378
0.003000, 0.024487
0.004000, 0.030648
0.005000, 0.036627
0.006000, 0.042406
0.007000, 0.048110
0.008000, 0.053953
0.009000, 0.060004
0.010000, 0.065482
0.011000, 0.071420
0.012000, 0.076608
0.013000, 0.082822
0.014000, 0.088733
0.015000, 0.094656
0.016000, 0.100520
0.017000, 0.106329
0.018000, 0.112745
0.019000, 0.118594
0.020000, 0.124553
0.021000, 0.130404
0.022000, 0.136592
0.023000, 0.142517
0.024000, 0.148505
0.025000, 0.154454
0.026000, 0.160261
0.027000, 0.165653
0.028000, 0.172468
0.029000, 0.179579
0.030000, 0.185374
0.031000, 0.191152
0.032000, 0.196577
0.033000, 0.203755
0.034000, 0.209050
0.035000, 0.215287
0.036000, 0.221689
0.037000, 0.227630
0.038000, 0.234004
0.039000, 0.239960
0.040000, 0.245593
0.041000, 0.251187
0.042000, 0.258212
0.043000, 0.264712
0.044000, 0.271640
0.045000, 0.277728
0.046000, 0.283970
0.047000, 0.289613
0.048000, 0.295579
0.049000, 0.301262
0.050000, 0.307204
0.051000, 0.312835
0.052000, 0.318855
0.053000, 0.324300
0.054000, 0.329860
0.055000, 0.335750
0.056000, 0.342119
0.057000, 0.348645
0.058000, 0.355130
0.059000, 0.361086
0.060000, 0.366905
0.061000, 0.372382
0.062000, 0.378580
0.063000, 0.384372
0.064000, 0.390958
0.065000, 0.396869
0.066000, 0.402728
0.067000, 0.408256
0.068000, 0.414512
0.069000, 0.420295
0.070000, 0.426780
0.071000, 0.432417
0.072000, 0.438795
0.073000, 0.445240
0.074000, 0.451403
0.075000, 0.456531
0.076000, 0.462421
0.077000, 0.467368
0.078000, 0.471872
0.079000, 0.476749
0.080000, 0.483275
0.081000, 0.488794
0.082000, 0.495213
0.083000, 0.500850
0.084000, 0.506939
0.085000, 0.513417
0.086000, 0.519369
0.087000, 0.524965
0.088000, 0.531055
0.089000, 0.536481
0.090000, 0.543070
0.091000, 0.549778
0.092000, 0.556337
0.093000, 0.563256
0.094000, 0.570269
0.095000, 0.575893
0.096000, 0.581730
0.097000, 0.586877
0.098000, 0.593012
0.099000, 0.598668
0.100000, 0.605128
0.101000, 0.611713
0.102000, 0.617170
0.103000, 0.623224
0.104000, 0.629370
0.105000, 0.635049
0.106000, 0.641493
0.107000, 0.647286
0.108000, 0.653428
0.109000, 0.660356
0.110000, 0.667402
0.111000, 0.671961
0.112000, 0.678350
0.113000, 0.684152
0.114000, 0.690789
0.115000, 0.695508
0.116000, 0.701850
0.117000, 0.707955
0.118000, 0.713770
0.119000, 0.720190
0.120000, 0.726396
0.121000, 0.732376
0.122000, 0.737618
0.123000, 0.743664
0.124000, 0.749473
0.125000, 0.756961
0.126000, 0.763263
0.127000, 0.767806
0.128000, 0.772774
0.129000, 0.779202
0.130000, 0.784810
0.131000, 0.790819
0.132000, 0.797146
0.133000, 0.802252
0.134000, 0.805525
0.135000, 0.812586
0.136000, 0.818943
0.137000, 0.824509
0.138000, 0.828705
0.139000, 0.833972
0.140000, 0.840275
0.141000, 0.846623
0.142000, 0.853288
0.143000, 0.859598
0.144000, 0.865706
0.145000, 0.871611
0.146000, 0.878151
0.147000, 0.885119
0.148000, 0.892468
0.149000, 0.896437
0.150000, 0.903154
0.151000, 0.909079
0.152000, 0.915629
0.153000, 0.922638
0.154000, 0.926798
0.155000, 0.932048
0.156000, 0.937887
0.157000, 0.941253
0.158000, 0.946400
0.159000, 0.953631
0.160000, 0.959047
0.161000, 0.964506
0.162000, 0.969970
0.163000, 0.976859
0.164000, 0.983662
0.165000, 0.989406
0.166000, 0.996478
0.167000, 1.005181
0.168000, 1.009263
0.169000, 1.013975
0.170000, 1.020499
0.171000, 1.027415
0.172000, 1.033911
0.173000, 1.040465
0.174000, 1.047290
0.175000, 1.053125
0.176000, 1.059086
0.177000, 1.065299
0.178000, 1.071844
0.179000, 1.077573
0.180000, 1.081951
0.181000, 1.088316
0.182000, 1.095411
0.183000, 1.101325
0.184000, 1.108148
0.185000, 1.115277
0.186000, 1.120119
0.187000, 1.127402
0.188000, 1.132490
0.189000, 1.137604
0.190000, 1.143845
0.191000, 1.149280
0.192000, 1.154875
0.193000, 1.160197
0.194000, 1.165031
0.195000, 1.172664
0.196000, 1.178993
0.197000, 1.184718
0.198000, 1.190252
0.199000, 1.194850
0.200000, 1.200608
0.201000, 1.206652
0.202000, 1.212877
0.203000, 1.219657
0.204000, 1.226483
0.205000, 1.232247
0.206000, 1.237629
0.207000, 1.242243
0.208000, 1.247742
0.209000, 1.253108
0.210000, 1.259817
0.211000, 1.264590
0.212000, 1.270602
0.213000, 1.275707
0.214000, 1.281893
0.215000, 1.287409
0.216000, 1.294635
0.217000, 1.300575
0.218000, 1.307663
0.219000, 1.315108
0.220000, 1.320533
0.221000, 1.327143
0.222000, 1.334465
0.223000, 1.339680
0.224000, 1.345959
0.225000, 1.352653
0.226000, 1.357660
0.227000, 1.362578
0.228000, 1.368349
0.229000, 1.373898
0.230000, 1.380207
0.231000, 1.384572
0.232000, 1.390026
0.233000, 1.395099
0.234000, 1.400869
0.235000, 1.407251
0.236000, 1.413277
0.237000, 1.418051
0.238000, 1.425142
0.239000, 1.432186
0.240000, 1.438753
0.241000, 1.444498
0.242000, 1.450755
0.243000, 1.457026
0.244000, 1.461217
0.245000, 1.466071
0.246000, 1.470481
0.247000, 1.475143
0.248000, 1.480649
0.249000, 1.486408
0.250000, 1.491954
0.251000, 1.499716
0.252000, 1.505736
0.253000, 1.510486
0.254000, 1.516011
0.255000, 1.520328
0.256000, 1.527830
0.257000, 1.532088
0.258000, 1.535795
0.259000, 1.541110
0.260000, 1.549106
0.261000, 1.553313
0.262000, 1.559208
0.263000, 1.563486
0.264000, 1.569643
0.265000, 1.575428
0.266000, 1.581377
0.267000, 1.587331
0.268000, 1.594511
0.269000, 1.600391
0.270000, 1.606785
0.271000, 1.611826
0.272000, 1.616868
0.273000, 1.623113
0.274000, 1.629526
0.275000, 1.636476
0.276000, 1.642993
0.277000, 1.650563
0.278000, 1.655510
0.279000, 1.662301
0.280000, 1.666675
0.281000, 1.669824
0.282000, 1.675009
0.283000, 1.682091
0.284000, 1.688965
0.285000, 1.696570
0.286000, 1.703870
0.287000, 1.710222
0.288000, 1.717214
0.289000, 1.724766
0.290000, 1.732065
0.291000, 1.738507
0.292000, 1.746537
0.293000, 1.752279
0.294000, 1.759411
0.295000, 1.763384
0.296000, 1.769972
0.297000, 1.775129
0.298000, 1.780568
0.299000, 1.787918
0.300000, 1.793863
0.301000, 1.799860
0.302000, 1.804189
0.303000, 1.811776
0.304000, 1.819030
0.305000, 1.824392
0.306000, 1.829328
0.307000, 1.838111
0.308000, 1.844063
0.309000, 1.849139
0.310000, 1.857448
0.311000, 1.862256
0.312000, 1.868427
0.313000, 1.873408
0.314000, 1.880417
0.315000, 1.889117
0.316000, 1.895897
0.317000, 1.902734
0.318000, 1.908454
0.319000, 1.914869
0.320000, 1.921620
0.321000, 1.927653
0.322000, 1.931945
0.323000, 1.936934
0.324000, 1.943376
0.325000, 1.947997
0.326000, 1.954077
0.327000, 1.957669
0.328000, 1.963590
0.329000, 1.969536
0.330000, 1.974407
0.331000, 1.979750
0.332000, 1.985487
0.333000, 1.992243
0.334000, 1.997819
0.335000, 2.004827
0.336000, 2.010308
0.337000, 2.015338
0.338000, 2.021437
0.339000, 2.027224
0.340000, 2.034919
0.341000, 2.039408
0.342000, 2.044754
0.343000, 2.049482
0.344000, 2.054314
0.345000, 2.061247
0.346000, 2.067504
0.347000, 2.072787
0.348000, 2.077612
0.349000, 2.085564
0.350000, 2.090653
0.351000, 2.098285
0.352000, 2.103504
0.353000, 2.112291
0.354000, 2.117709
0.355000, 2.122935
0.356000, 2.127366
0.357000, 2.133624
0.358000, 2.141761
0.359000, 2.145337
0.360000, 2.152724
0.361000, 2.159225
0.362000, 2.165515
0.363000, 2.170674
0.364000, 2.176342
0.365000, 2.183628
0.366000, 2.186884
0.367000, 2.192877
0.368000, 2.198550
0.369000, 2.203403
0.370000, 2.210289
0.371000, 2.216235
0.372000, 2.222128
0.373000, 2.227099
0.374000, 2.233559
0.375000, 2.238995
