#16.266133
Time, MSD
0.000000, 0.006052
0.001000, 0.012098
0.002000, 0.018121
0.003000, 0.024180
0.004000, 0.030062
0.005000, 0.035797
0.006000, 0.041596
0.007000, 0.047667
0.008000, 0.053493
0.009000, 0.059587
0.010000, 0.065428
0.011000, 0.071483
0.012000, 0.077307
0.013000, 0.083268
0.014000, 0.088898
0.015000, 0.094814
0.016000, 0.101004
0.017000, 0.106431
0.018000, 0.112193
0.019000, 0.118278
0.020000, 0.124339
0.021000, 0.130216
0.022000, 0.136343
0.023000, 0.142373
0.024000, 0.147740
0.025000, 0.153139
0.026000, 0.158430
0.027000, 0.164849
0.028000, 0.170603
0.029000, 0.176788
0.030000, 0.182951
0.031000, 0.189050
0.032000, 0.194847
0.033000, 0.200470
0.034000, 0.206538
0.035000, 0.212054
0.036000, 0.217964
0.037000, 0.224436
0.038000, 0.230164
0.039000, 0.235923
0.040000, 0.241606
0.041000, 0.247061
0.042000, 0.253619
0.043000, 0.259577
0.044000, 0.265426
0.045000, 0.271626
0.046000, 0.276964
0.047000, 0.283029
0.048000, 0.289266
0.049000, 0.294740
0.050000, 0.301705
0.051000, 0.307362
0.052000, 0.313080
0.053000, 0.319540
0.054000, 0.325651
0.055000, 0.331590
0.056000, 0.337232
0.057000, 0.343352
0.058000, 0.348379
0.059000, 0.354184
0.060000, 0.360984
0.061000, 0.368381
0.062000, 0.373835
0.063000, 0.380199
0.064000, 0.385481
0.065000, 0.391893
0.066000, 0.398015
0.067000, 0.404253
0.068000, 0.410875
0.069000, 0.417385
0.070000, 0.423967
0.071000, 0.429953
0.072000, 0.436828
0.073000, 0.442351
0.074000, 0.448422
0.075000, 0.454446
0.076000, 0.460319
0.077000, 0.466288
0.078000, 0.472562
0.079000, 0.478885
0.080000, 0.485625
0.081000, 0.491557
0.082000, 0.498839
0.083000, 0.505652
0.084000, 0.511427
0.085000, 0.517363
0.086000, 0.523081
0.087000, 0.528424
0.088000, 0.534411
0.089000, 0.540733
0.090000, 0.545572
0.091000, 0.549976
0.092000, 0.556727
0.093000, 0.563210
0.094000, 0.569608
0.095000, 0.575816
0.096000, 0.582024
0.097000, 0.587500
0.098000, 0.595203
0.099000, 0.601007
0.100000, 0.606183
0.101000, 0.613355
0.102000, 0.619529
0.103000, 0.625547
0.104000, 0.631806
0.105000, 0.635923
0.106000, 0.642915
0.107000, 0.648741
0.108000, 0.655838
0.109000, 0.661040
0.110000, 0.667478
0.111000, 0.674014
0.112000, 0.680564
0.113000, 0.687535
0.114000, 0.692931
0.115000, 0.698972
0.116000, 0.705080
0.117000, 0.710880
0.118000, 0.719126
0.119000, 0.724924
0.120000, 0.731641
0.121000, 0.738308
0.122000, 0.744670
0.123000, 0.749782
0.124000, 0.756455
0.125000, 0.762880
0.126000, 0.769994
0.127000, 0.774983
0.128000, 0.782621
0.129000, 0.789353
0.130000, 0.795316
0.131000, 0.800992
0.132000, 0.805867
0.133000, 0.812402
0.134000, 0.818646
0.135000, 0.825332
0.136000, 0.829917
0.137000, 0.836814
0.138000, 0.842857
0.139000, 0.848001
0.140000, 0.853980
0.141000, 0.861963
0.142000, 0.868594
0.143000, 0.874417
0.144000, 0.880148
0.145000, 0.886490
0.146000, 0.891689
0.147000, 0.899047
0.148000, 0.906249
0.149000, 0.911567
0.150000, 0.918204
0.151000, 0.925248
0.152000, 0.930761
0.153000, 0.936095
0.154000, 0.943368
0.155000, 0.949235
0.156000, 0.954470
0.157000, 0.961235
0.158000, 0.968072
0.159000, 0.975416
0.160000, 0.981793
0.161000, 0.988066
0.162000, 0.993360
0.163000, 1.000499
0.164000, 1.006745
0.165000, 1.012353
0.166000, 1.018408
0.167000, 1.022470
0.168000, 1.026895
0.169000, 1.033751
0.170000, 1.040228
0.171000, 1.044795
0.172000, 1.050757
0.173000, 1.057679
0.174000, 1.064220
0.175000, 1.071851
0.176000, 1.080444
0.177000, 1.086752
0.178000, 1.092324
0.179000, 1.098791
0.180000, 1.105211
0.181000, 1.113276
0.182000, 1.120502
0.183000, 1.127924
0.184000, 1.133340
0.185000, 1.137336
0.186000, 1.143233
0.187000, 1.151180
0.188000, 1.158724
0.189000, 1.162225
0.190000, 1.169481
0.191000, 1.175887
0.192000, 1.180797
0.193000, 1.184278
0.194000, 1.189706
0.195000, 1.196925
0.196000, 1.203737
0.197000, 1.209470
0.198000, 1.217249
0.199000, 1.221628
0.200000, 1.226923
0.201000, 1.232022
0.202000, 1.237607
0.203000, 1.244615
0.204000, 1.252557
0.205000, 1.258623
0.206000, 1.265501
0.207000, 1.271675
0.208000, 1.278383
0.209000, 1.285925
0.210000, 1.292781
0.211000, 1.298923
0.212000, 1.306326
0.213000, 1.313239
0.214000, 1.319617
0.215000, 1.323959
0.216000, 1.330555
0.217000, 1.335623
0.218000, 1.340850
0.219000, 1.346345
0.220000, 1.352176
0.221000, 1.360182
0.222000, 1.364511
0.223000, 1.371037
0.224000, 1.374357
0.225000, 1.378586
0.226000, 1.385445
0.227000, 1.391392
0.228000, 1.396968
0.229000, 1.401721
0.230000, 1.408381
0.231000, 1.413251
0.232000, 1.419137
0.233000, 1.423579
0.234000, 1.426831
0.235000, 1.433421
0.236000, 1.438362
0.237000, 1.444800
0.238000, 1.451402
0.239000, 1.457865
0.240000, 1.464328
0.241000, 1.471415
0.242000, 1.477217
0.243000, 1.483477
0.244000, 1.490089
0.245000, 1.496231
0.246000, 1.499470
0.247000, 1.504831
0.248000, 1.511543
0.249000, 1.518438
0.250000, 1.523652
0.251000, 1.531950
0.252000, 1.538450
0.253000, 1.542624
0.254000, 1.548577
0.255000, 1.553979
0.256000, 1.561540
0.257000, 1.566900
0.258000, 1.574522
0.259000, 1.580506
0.260000, 1.587491
0.261000, 1.595052
0.262000, 1.601366
0.263000, 1.610370
0.264000, 1.616461
0.265000, 1.623418
0.266000, 1.630110
0.267000, 1.636198
0.268000, 1.643545
0.269000, 1.647649
0.270000, 1.654015
0.271000, 1.658378
0.272000, 1.664466
0.273000, 1.671045
0.274000, 1.677291
0.275000, 1.681571
0.276000, 1.688312
0.277000, 1.694884
0.278000, 1.702508
0.279000, 1.708997
0.280000, 1.713541
0.281000, 1.719402
0.282000, 1.722600
0.283000, 1.729164
0.284000, 1.735831
0.285000, 1.742372
0.286000, 1.747733
0.287000, 1.753453
0.288000, 1.759044
0.289000, 1.765847
0.290000, 1.771752
0.291000, 1.778391
0.292000, 1.784109
0.293000, 1.788648
0.294000, 1.793720
0.295000, 1.798714
0.296000, 1.806139
0.297000, 1.813955
0.298000, 1.821149
0.299000, 1.827350
0.300000, 1.833159
0.301000, 1.838827
0.302000, 1.844672
0.303000, 1.849872
0.304000, 1.856615
0.305000, 1.865056
0.306000, 1.871475
0.307000, 1.877106
0.308000, 1.882478
0.309000, 1.887535
0.310000, 1.895227
0.311000, 1.902029
0.312000, 1.909023
0.313000, 1.915570
0.314000, 1.919583
0.315000, 1.924512
0.316000, 1.929932
0.317000, 1.935565
0.318000, 1.940175
0.319000, 1.946713
0.320000, 1.953916
0.321000, 1.961113
0.322000, 1.966543
0.323000, 1.971016
0.324000, 1.979978
0.325000, 1.987175
0.326000, 1.992964
0.327000, 1.999670
0.328000, 2.008117
0.329000, 2.014327
0.330000, 2.021471
0.331000, 2.028609
0.332000, 2.037426
0.333000, 2.043114
0.334000, 2.048052
0.335000, 2.055235
0.336000, 2.062242
0.337000, 2.066841
0.338000, 2.072495
0.339000, 2.078102
0.340000, 2.084097
0.341000, 2.089568
0.342000, 2.093190
0.343000, 2.099899
0.344000, 2.102570
0.345000, 2.107535
0.346000, 2.113889
0.347000, 2.120850
0.348000, 2.127229
0.349000, 2.134784
0.350000, 2.139402
0.351000, 2.145803
0.352000, 2.149283
0.353000, 2.155036
0.354000, 2.161207
0.355000, 2.165087
0.356000, 2.171007
0.357000, 2.178767
0.358000, 2.185401
0.359000, 2.191361
0.360000, 2.196990
0.361000, 2.203202
0.362000, 2.207769
0.363000, 2.214498
0.364000, 2.219725
0.365000, 2.226059
0.366000, 2.232158
0.367000, 2.240243
0.368000, 2.245774
0.369000, 2.250174
0.370000, 2.255994
0.371000, 2.262731
0.372000, 2.267513
0.373000, 2.272360
0.374000, 2.279705
0.375000, 2.287115
0.376000, 2.291810
0.377000, 2.296662
0.378000, 2.302732
0.379000, 2.308617
0.380000, 2.314867
0.381000, 2.320417
0.382000, 2.326422
0.383000, 2.330788
0.384000, 2.334937
0.385000, 2.340139
0.386000, 2.345393
0.387000, 2.349878
0.388000, 2.355329
0.389000, 2.358948
0.390000, 2.364852
0.391000, 2.372626
0.392000, 2.380213
0.393000, 2.384524
0.394000, 2.391726
0.395000, 2.399640
0.396000, 2.405723
0.397000, 2.410944
0.398000, 2.414947
0.399000, 2.419101
0.400000, 2.427827
0.401000, 2.436011
0.402000, 2.442211
0.403000, 2.448318
0.404000, 2.455427
0.405000, 2.463789
0.406000, 2.468539
0.407000, 2.473516
0.408000, 2.480040
0.409000, 2.486115
0.410000, 2.491361
0.411000, 2.497349
0.412000, 2.504018
0.413000, 2.509866
0.414000, 2.516639
0.415000, 2.523431
0.416000, 2.529613
0.417000, 2.534998
0.418000, 2.541267
0.419000, 2.546030
0.420000, 2.550987
0.421000, 2.555656
0.422000, 2.561708
0.423000, 2.567517
0.424000, 2.573218
0.425000, 2.577815
0.426000, 2.584163
0.427000, 2.590918
0.428000, 2.597118
0.429000, 2.600645
0.430000, 2.606605
0.431000, 2.614189
0.432000, 2.624236
0.433000, 2.626957
0.434000, 2.633828
0.435000, 2.639075
0.436000, 2.645709
0.437000, 2.650505
0.438000, 2.655306
0.439000, 2.661341
0.440000, 2.666013
0.441000, 2.670136
0.442000, 2.673779
0.443000, 2.680881
0.444000, 2.687755
0.445000, 2.693723
0.446000, 2.700948
0.447000, 2.706996
0.448000, 2.713556
0.449000, 2.717455
0.450000, 2.723800
0.451000, 2.731175
0.452000, 2.734980
0.453000, 2.739135
0.454000, 2.745315
0.455000, 2.753758
0.456000, 2.760940
0.457000, 2.766884
0.458000, 2.771746
0.459000, 2.780511
0.460000, 2.786627
0.461000, 2.791396
0.462000, 2.800154
0.463000, 2.805741
0.464000, 2.808672
0.465000, 2.814506
0.466000, 2.821906
0.467000, 2.830613
0.468000, 2.835859
0.469000, 2.841981
0.470000, 2.847469
0.471000, 2.849613
0.472000, 2.857702
0.473000, 2.863848
0.474000, 2.869149
0.475000, 2.875122
0.476000, 2.884024
0.477000, 2.890306
0.478000, 2.892190
0.479000, 2.898339
0.480000, 2.904698
0.481000, 2.911057
0.482000, 2.920581
0.483000, 2.926052
0.484000, 2.932872
0.485000, 2.938238
0.486000, 2.943572
0.487000, 2.950106
0.488000, 2.957880
0.489000, 2.962882
0.490000, 2.968224
0.491000, 2.977040
0.492000, 2.981579
0.493000, 2.986907
0.494000, 2.995173
0.495000, 2.998712
0.496000, 3.005565
0.497000, 3.010553
0.498000, 3.016982
0.499000, 3.024435
0.500000, 3.032085
0.501000, 3.035487
0.502000, 3.040074
0.503000, 3.046596
0.504000, 3.052041
0.505000, 3.062189
0.506000, 3.066505
0.507000, 3.074106
0.508000, 3.080285
0.509000, 3.083747
0.510000, 3.088730
0.511000, 3.096029
0.512000, 3.100719
0.513000, 3.104922
0.514000, 3.109246
0.515000, 3.112947
0.516000, 3.118945
0.517000, 3.123429
0.518000, 3.128674
0.519000, 3.132903
0.520000, 3.138967
0.521000, 3.144936
0.522000, 3.149417
0.523000, 3.155456
0.524000, 3.163059
0.525000, 3.168499
0.526000, 3.174954
0.527000, 3.181349
0.528000, 3.188353
0.529000, 3.194146
0.530000, 3.199931
0.531000, 3.203579
0.532000, 3.209276
0.533000, 3.218207
0.534000, 3.222418
0.535000, 3.229331
0.536000, 3.236871
0.537000, 3.244595
0.538000, 3.252079
0.539000, 3.257243
0.540000, 3.263975
0.541000, 3.268302
0.542000, 3.274152
0.543000, 3.279777
0.544000, 3.287834
0.545000, 3.294170
0.546000, 3.300396
0.547000, 3.306670
0.548000, 3.312990
0.549000, 3.316698
0.550000, 3.322941
0.551000, 3.328225
0.552000, 3.336887
0.553000, 3.344938
0.554000, 3.351960
0.555000, 3.359065
0.556000, 3.367813
0.557000, 3.372347
0.558000, 3.379046
0.559000, 3.384559
0.560000, 3.391220
0.561000, 3.396790
0.562000, 3.403280
0.563000, 3.410883
0.564000, 3.414786
0.565000, 3.421454
0.566000, 3.426600
0.567000, 3.436121
0.568000, 3.443434
0.569000, 3.447254
0.570000, 3.454377
0.571000, 3.460144
0.572000, 3.466985
0.573000, 3.473401
0.574000, 3.479822
0.575000, 3.485674
0.576000, 3.490810
0.577000, 3.494930
0.578000, 3.498613
0.579000, 3.505819
0.580000, 3.510400
0.581000, 3.516247
0.582000, 3.520162
0.583000, 3.525895
0.584000, 3.531302
0.585000, 3.540217
0.586000, 3.546662
0.587000, 3.554486
0.588000, 3.561295
0.589000, 3.569343
0.590000, 3.575979
0.591000, 3.582155
0.592000, 3.588285
0.593000, 3.594697
0.594000, 3.601524
0.595000, 3.607045
0.596000, 3.611987
0.597000, 3.619358
0.598000, 3.624046
0.599000, 3.631074
0.600000, 3.634515
