#9.686093
Time, MSD
0.000000, 0.005939
0.001000, 0.012111
0.002000, 0.018072
0.003000, 0.023793
0.004000, 0.029851
0.005000, 0.036153
0.006000, 0.042252
0.007000, 0.048338
0.008000, 0.054484
0.009000, 0.061065
0.010000, 0.067323
0.011000, 0.072925
0.012000, 0.079139
0.013000, 0.085017
0.014000, 0.090841
0.015000, 0.096599
0.016000, 0.102959
0.017000, 0.109343
0.018000, 0.115299
0.019000, 0.121007
0.020000, 0.126646
0.021000, 0.132429
0.022000, 0.138363
0.023000, 0.144331
0.024000, 0.150473
0.025000, 0.156571
0.026000, 0.163222
0.027000, 0.168570
0.028000, 0.174269
0.029000, 0.180917
0.030000, 0.187073
0.031000, 0.193318
0.032000, 0.198459
0.033000, 0.203894
0.034000, 0.209307
0.035000, 0.215676
0.036000, 0.221436
0.037000, 0.227662
0.038000, 0.233382
0.039000, 0.239197
0.040000, 0.244740
0.041000, 0.251244
0.042000, 0.257468
0.043000, 0.262720
0.044000, 0.269437
0.045000, 0.275219
0.046000, 0.281361
0.047000, 0.287844
0.048000, 0.293830
0.049000, 0.300370
0.050000, 0.306248
0.051000, 0.312851
0.052000, 0.319046
0.053000, 0.325525
0.054000, 0.331856
0.055000, 0.338564
0.056000, 0.344865
0.057000, 0.350869
0.058000, 0.356610
0.059000, 0.362459
0.060000, 0.368714
0.061000, 0.375450
0.062000, 0.381147
0.063000, 0.386654
0.064000, 0.392350
0.065000, 0.398139
0.066000, 0.404432
0.067000, 0.410323
0.068000, 0.415580
0.069000, 0.422778
0.070000, 0.429521
0.071000, 0.436310
0.072000, 0.442779
0.073000, 0.450034
0.074000, 0.456298
0.075000, 0.462425
0.076000, 0.468703
0.077000, 0.473634
0.078000, 0.478291
0.079000, 0.483777
0.080000, 0.489925
0.081000, 0.495737
0.082000, 0.501693
0.083000, 0.507570
0.084000, 0.513147
0.085000, 0.518365
0.086000, 0.524589
0.087000, 0.531686
0.088000, 0.537940
0.089000, 0.545530
0.090000, 0.552813
0.091000, 0.559501
0.092000, 0.564186
0.093000, 0.570686
0.094000, 0.577430
0.095000, 0.582968
0.096000, 0.588286
0.097000, 0.594082
0.098000, 0.599991
0.099000, 0.606468
0.100000, 0.612906
0.101000, 0.617858
0.102000, 0.623013
0.103000, 0.629221
0.104000, 0.636057
0.105000, 0.641314
0.106000, 0.647209
0.107000, 0.653749
0.108000, 0.659924
0.109000, 0.666332
0.110000, 0.673450
0.111000, 0.680315
0.112000, 0.686557
0.113000, 0.692004
0.114000, 0.697579
0.115000, 0.704740
0.116000, 0.709810
0.117000, 0.716000
0.118000, 0.722711
0.119000, 0.728579
0.120000, 0.733099
0.121000, 0.739160
