#94.319475
Time, MSD
0.000000, 0.005945
0.001000, 0.011801
0.002000, 0.017816
0.003000, 0.023926
0.004000, 0.030001
0.005000, 0.036154
0.006000, 0.042239
0.007000, 0.048413
0.008000, 0.054408
0.009000, 0.060600
0.010000, 0.066371
0.011000, 0.071906
0.012000, 0.077815
0.013000, 0.083545
0.014000, 0.089379
0.015000, 0.095705
0.016000, 0.102462
0.017000, 0.108544
0.018000, 0.114545
0.019000, 0.120682
0.020000, 0.126781
0.021000, 0.132964
0.022000, 0.138143
0.023000, 0.144247
0.024000, 0.150238
0.025000, 0.156308
0.026000, 0.163119
0.027000, 0.168958
0.028000, 0.175450
0.029000, 0.181541
0.030000, 0.187336
0.031000, 0.192683
0.032000, 0.198762
0.033000, 0.205316
0.034000, 0.211312
0.035000, 0.217195
0.036000, 0.223174
0.037000, 0.228850
0.038000, 0.234280
0.039000, 0.240578
0.040000, 0.246499
0.041000, 0.253362
0.042000, 0.258982
0.043000, 0.265275
0.044000, 0.271740
0.045000, 0.277369
0.046000, 0.282726
0.047000, 0.289194
0.048000, 0.294991
0.049000, 0.301145
0.050000, 0.307557
0.051000, 0.313950
0.052000, 0.319717
0.053000, 0.326127
0.054000, 0.331806
0.055000, 0.338018
0.056000, 0.344098
0.057000, 0.349930
0.058000, 0.356055
0.059000, 0.361758
0.060000, 0.367964
0.061000, 0.374102
0.062000, 0.379069
0.063000, 0.384677
0.064000, 0.391085
0.065000, 0.397956
0.066000, 0.403167
0.067000, 0.409407
0.068000, 0.416841
0.069000, 0.423078
0.070000, 0.429235
0.071000, 0.434576
0.072000, 0.439729
0.073000, 0.445638
0.074000, 0.451785
0.075000, 0.458323
0.076000, 0.463585
0.077000, 0.468783
0.078000, 0.475880
0.079000, 0.481308
0.080000, 0.487109
0.081000, 0.493313
0.082000, 0.499609
0.083000, 0.506241
0.084000, 0.512432
0.085000, 0.518035
0.086000, 0.523961
0.087000, 0.530731
0.088000, 0.536703
0.089000, 0.542041
0.090000, 0.548393
0.091000, 0.554304
0.092000, 0.560083
0.093000, 0.566579
0.094000, 0.572659
