JobId,ArrayId,Program,Nodes,Tasks,MaxThreads,Particles,DiffCoeff,TimeStep,EndTime,WallTime
7434,1,serial,1,1,1,12800,1.5,0.001,10.0,36.045
7440,1,omp,1,1,1,12800,1.5,0.001,10.0,34.164
7446,1,omp,1,1,2,12800,1.5,0.001,10.0,17.775
7440,2,omp,1,1,1,128000,1.5,0.001,10.0,192.786
7434,2,serial,1,1,1,128000,1.5,0.001,10.0,194.775
7446,2,omp,1,1,2,128000,1.5,0.001,10.0,139.902
7434,4,serial,1,1,1,12800,1.5,0.001,100.0,235.624
7440,4,omp,1,1,1,12800,1.5,0.001,100.0,236.594
7447,1,omp,1,1,4,12800,1.5,0.001,10.0,12.143
7447,2,omp,1,1,4,128000,1.5,0.001,10.0,69.554
7446,4,omp,1,1,2,12800,1.5,0.001,100.0,183.592
7447,4,omp,1,1,4,12800,1.5,0.001,100.0,121.604
7447,3,omp,1,1,4,1280000,1.5,0.001,10.0,628.086
7447,5,omp,1,1,4,128000,1.5,0.001,100.0,678.558
7448,1,omp,1,1,8,12800,1.5,0.001,10.0,9.421
7448,2,omp,1,1,8,128000,1.5,0.001,10.0,40.055
7446,3,omp,1,1,2,1280000,1.5,0.001,10.0,1211.270
7446,5,omp,1,1,2,128000,1.5,0.001,100.0,1261.581
7448,4,omp,1,1,8,12800,1.5,0.001,100.0,93.551
7448,3,omp,1,1,8,1280000,1.5,0.001,10.0,345.771
7449,1,omp,1,1,16,12800,1.5,0.001,10.0,7.873
7449,2,omp,1,1,16,128000,1.5,0.001,10.0,25.197
7434,3,serial,1,1,1,1280000,1.5,0.001,10.0,1684.542
7440,3,omp,1,1,1,1280000,1.5,0.001,10.0,1684.949
7434,5,serial,1,1,1,128000,1.5,0.001,100.0,1726.604
7440,5,omp,1,1,1,128000,1.5,0.001,100.0,1725.651
7450,1,omp,1,1,32,12800,1.5,0.001,10.0,11.452
7450,2,omp,1,1,32,128000,1.5,0.001,10.0,19.308
7449,4,omp,1,1,16,12800,1.5,0.001,100.0,78.616
7449,3,omp,1,1,16,1280000,1.5,0.001,10.0,199.978
7450,4,omp,1,1,32,12800,1.5,0.001,100.0,69.594
7448,5,omp,1,1,8,128000,1.5,0.001,100.0,400.552
7450,3,omp,1,1,32,1280000,1.5,0.001,10.0,101.222
7451,1,mpi,1,1,1,12800,1.5,0.001,10.0,28.253
7449,5,omp,1,1,16,128000,1.5,0.001,100.0,246.637
7450,5,omp,1,1,32,128000,1.5,0.001,100.0,153.556
7451,2,mpi,1,1,1,128000,1.5,0.001,10.0,172.991
