#68.282157
Time, MSD
0.000000, 0.006099
0.001000, 0.012095
0.002000, 0.018247
0.003000, 0.024113
0.004000, 0.029860
0.005000, 0.035978
0.006000, 0.041955
0.007000, 0.047938
0.008000, 0.053779
0.009000, 0.060043
0.010000, 0.066396
0.011000, 0.072303
0.012000, 0.078117
0.013000, 0.083858
0.014000, 0.089921
0.015000, 0.095550
0.016000, 0.101986
0.017000, 0.108191
0.018000, 0.114714
0.019000, 0.120688
0.020000, 0.126666
0.021000, 0.132979
0.022000, 0.139184
0.023000, 0.145794
0.024000, 0.151775
0.025000, 0.157595
0.026000, 0.164116
0.027000, 0.170013
0.028000, 0.176745
0.029000, 0.182542
0.030000, 0.188587
0.031000, 0.194846
0.032000, 0.200544
0.033000, 0.206320
0.034000, 0.213249
0.035000, 0.218688
0.036000, 0.224226
0.037000, 0.229932
0.038000, 0.235492
0.039000, 0.241209
0.040000, 0.247429
0.041000, 0.253933
0.042000, 0.259737
0.043000, 0.266307
0.044000, 0.272038
0.045000, 0.278596
0.046000, 0.284573
0.047000, 0.290668
0.048000, 0.296476
0.049000, 0.302748
0.050000, 0.308925
0.051000, 0.314684
0.052000, 0.321116
0.053000, 0.327131
0.054000, 0.332697
0.055000, 0.338576
0.056000, 0.344726
0.057000, 0.350991
0.058000, 0.358220
0.059000, 0.364493
0.060000, 0.370321
0.061000, 0.376137
0.062000, 0.381988
0.063000, 0.387867
0.064000, 0.393975
0.065000, 0.399881
0.066000, 0.405478
0.067000, 0.410369
0.068000, 0.416869
0.069000, 0.424355
0.070000, 0.430473
0.071000, 0.436871
0.072000, 0.442126
0.073000, 0.449334
0.074000, 0.454953
0.075000, 0.460779
0.076000, 0.466094
0.077000, 0.472079
0.078000, 0.479318
0.079000, 0.484887
0.080000, 0.491559
0.081000, 0.496926
0.082000, 0.503330
0.083000, 0.509520
0.084000, 0.515246
0.085000, 0.520590
0.086000, 0.527070
0.087000, 0.532918
0.088000, 0.537134
0.089000, 0.542207
0.090000, 0.548621
0.091000, 0.554955
0.092000, 0.559725
0.093000, 0.565904
0.094000, 0.571073
0.095000, 0.576723
