#15.085783
Time, MSD
0.000000, 0.005906
0.001000, 0.011668
0.002000, 0.017657
0.003000, 0.023714
0.004000, 0.029677
0.005000, 0.035675
0.006000, 0.041535
0.007000, 0.047637
0.008000, 0.053730
0.009000, 0.060011
0.010000, 0.065781
0.011000, 0.071436
0.012000, 0.077633
0.013000, 0.083864
0.014000, 0.089800
0.015000, 0.095742
0.016000, 0.101949
0.017000, 0.107706
0.018000, 0.113767
0.019000, 0.119767
0.020000, 0.126141
0.021000, 0.131916
0.022000, 0.137903
0.023000, 0.143794
0.024000, 0.150039
0.025000, 0.156380
0.026000, 0.162324
0.027000, 0.167912
0.028000, 0.174129
0.029000, 0.179408
0.030000, 0.185421
0.031000, 0.191841
0.032000, 0.197985
0.033000, 0.204175
0.034000, 0.210502
0.035000, 0.216161
0.036000, 0.222651
0.037000, 0.228467
0.038000, 0.234277
0.039000, 0.240215
0.040000, 0.246625
0.041000, 0.252417
0.042000, 0.258609
0.043000, 0.264192
0.044000, 0.269880
0.045000, 0.275595
0.046000, 0.282561
0.047000, 0.288975
0.048000, 0.294985
0.049000, 0.301322
0.050000, 0.306492
0.051000, 0.313012
0.052000, 0.318392
0.053000, 0.325237
0.054000, 0.331945
0.055000, 0.337479
0.056000, 0.343162
0.057000, 0.349402
0.058000, 0.355538
0.059000, 0.361354
0.060000, 0.368110
0.061000, 0.374715
0.062000, 0.380690
0.063000, 0.386635
0.064000, 0.391884
0.065000, 0.397965
0.066000, 0.403742
0.067000, 0.409657
0.068000, 0.415274
0.069000, 0.420661
0.070000, 0.426022
0.071000, 0.432420
0.072000, 0.438621
0.073000, 0.444116
0.074000, 0.449705
0.075000, 0.455387
0.076000, 0.461517
0.077000, 0.466185
0.078000, 0.473288
0.079000, 0.478503
0.080000, 0.483831
0.081000, 0.490102
0.082000, 0.496762
0.083000, 0.503687
0.084000, 0.509806
0.085000, 0.515450
0.086000, 0.521954
0.087000, 0.527528
0.088000, 0.534172
0.089000, 0.539810
0.090000, 0.546152
0.091000, 0.552130
0.092000, 0.558284
0.093000, 0.564223
0.094000, 0.570011
0.095000, 0.576537
0.096000, 0.582334
0.097000, 0.589688
0.098000, 0.595067
0.099000, 0.601109
0.100000, 0.607389
0.101000, 0.614397
0.102000, 0.620694
0.103000, 0.626006
0.104000, 0.632701
0.105000, 0.638463
0.106000, 0.644524
0.107000, 0.649849
0.108000, 0.656181
0.109000, 0.661532
0.110000, 0.667161
0.111000, 0.672879
0.112000, 0.678411
0.113000, 0.685371
0.114000, 0.691440
0.115000, 0.697697
0.116000, 0.702837
0.117000, 0.708083
0.118000, 0.713470
0.119000, 0.720422
0.120000, 0.726581
0.121000, 0.732456
0.122000, 0.738614
0.123000, 0.745588
0.124000, 0.752793
0.125000, 0.757872
0.126000, 0.763547
0.127000, 0.770645
0.128000, 0.775996
0.129000, 0.782859
0.130000, 0.789512
0.131000, 0.796397
0.132000, 0.803072
0.133000, 0.808804
0.134000, 0.814974
0.135000, 0.820261
0.136000, 0.826253
0.137000, 0.833516
0.138000, 0.839357
0.139000, 0.845764
0.140000, 0.851626
0.141000, 0.856483
0.142000, 0.862483
0.143000, 0.868537
0.144000, 0.874392
0.145000, 0.880153
0.146000, 0.886037
0.147000, 0.892046
0.148000, 0.898402
0.149000, 0.903678
0.150000, 0.909107
0.151000, 0.915126
0.152000, 0.921761
0.153000, 0.928830
0.154000, 0.935876
0.155000, 0.940950
0.156000, 0.945995
0.157000, 0.951547
0.158000, 0.956567
0.159000, 0.962267
0.160000, 0.966659
0.161000, 0.971576
0.162000, 0.976457
0.163000, 0.982495
0.164000, 0.988674
0.165000, 0.995067
0.166000, 1.001118
0.167000, 1.005353
0.168000, 1.011703
0.169000, 1.018497
0.170000, 1.023356
0.171000, 1.027419
0.172000, 1.033631
0.173000, 1.038565
0.174000, 1.044407
0.175000, 1.050759
0.176000, 1.056590
0.177000, 1.061543
0.178000, 1.066959
0.179000, 1.073636
0.180000, 1.079741
0.181000, 1.084069
0.182000, 1.088788
0.183000, 1.094556
0.184000, 1.101022
0.185000, 1.107832
0.186000, 1.114206
0.187000, 1.121603
0.188000, 1.127460
0.189000, 1.132291
0.190000, 1.137359
0.191000, 1.141546
0.192000, 1.148387
0.193000, 1.154048
0.194000, 1.157742
0.195000, 1.163097
0.196000, 1.168328
0.197000, 1.174364
0.198000, 1.179578
0.199000, 1.185383
0.200000, 1.190364
0.201000, 1.196271
0.202000, 1.203326
0.203000, 1.210540
0.204000, 1.217459
0.205000, 1.222118
0.206000, 1.226433
0.207000, 1.233042
0.208000, 1.238325
0.209000, 1.244686
0.210000, 1.249670
0.211000, 1.255297
0.212000, 1.260920
0.213000, 1.267109
0.214000, 1.273684
0.215000, 1.280177
0.216000, 1.286303
0.217000, 1.290806
0.218000, 1.297627
0.219000, 1.304565
0.220000, 1.309168
0.221000, 1.315579
0.222000, 1.321109
0.223000, 1.327254
0.224000, 1.334685
0.225000, 1.340308
0.226000, 1.345999
0.227000, 1.352350
0.228000, 1.357543
0.229000, 1.362459
0.230000, 1.370045
0.231000, 1.375728
0.232000, 1.382325
0.233000, 1.388279
0.234000, 1.395284
0.235000, 1.403462
0.236000, 1.410538
0.237000, 1.417656
0.238000, 1.422078
0.239000, 1.427068
0.240000, 1.433026
0.241000, 1.440129
0.242000, 1.445908
0.243000, 1.451015
0.244000, 1.457512
0.245000, 1.463711
0.246000, 1.470305
0.247000, 1.477176
0.248000, 1.484550
0.249000, 1.490553
0.250000, 1.495962
0.251000, 1.502257
0.252000, 1.509241
0.253000, 1.517786
0.254000, 1.524866
0.255000, 1.530186
0.256000, 1.536474
0.257000, 1.542709
0.258000, 1.548422
0.259000, 1.554255
0.260000, 1.558896
0.261000, 1.564430
0.262000, 1.570630
0.263000, 1.575301
0.264000, 1.583009
0.265000, 1.588996
0.266000, 1.596804
0.267000, 1.603212
0.268000, 1.609161
0.269000, 1.616648
0.270000, 1.623177
0.271000, 1.628266
0.272000, 1.634946
0.273000, 1.638702
0.274000, 1.646456
0.275000, 1.651780
0.276000, 1.656236
0.277000, 1.663301
0.278000, 1.671625
0.279000, 1.676438
0.280000, 1.683208
0.281000, 1.687862
0.282000, 1.693398
0.283000, 1.698064
0.284000, 1.703345
0.285000, 1.708767
0.286000, 1.712977
0.287000, 1.719309
0.288000, 1.726450
0.289000, 1.733656
0.290000, 1.740240
0.291000, 1.746982
0.292000, 1.752309
0.293000, 1.757871
0.294000, 1.762545
0.295000, 1.766476
0.296000, 1.773345
0.297000, 1.779076
0.298000, 1.786476
0.299000, 1.793687
0.300000, 1.801716
0.301000, 1.807638
0.302000, 1.813264
0.303000, 1.817068
0.304000, 1.821809
0.305000, 1.827130
0.306000, 1.834013
0.307000, 1.840659
0.308000, 1.846449
0.309000, 1.851312
0.310000, 1.856976
0.311000, 1.861516
0.312000, 1.867379
0.313000, 1.873652
0.314000, 1.878237
0.315000, 1.886112
0.316000, 1.891382
0.317000, 1.898714
0.318000, 1.904343
0.319000, 1.912033
0.320000, 1.918843
0.321000, 1.925224
0.322000, 1.927205
0.323000, 1.934286
0.324000, 1.940256
0.325000, 1.945730
0.326000, 1.952158
0.327000, 1.957488
0.328000, 1.965330
0.329000, 1.972433
0.330000, 1.980612
0.331000, 1.987196
0.332000, 1.993916
0.333000, 2.000383
0.334000, 2.007435
0.335000, 2.015655
0.336000, 2.020634
0.337000, 2.025574
0.338000, 2.033776
0.339000, 2.041563
0.340000, 2.047662
0.341000, 2.053131
0.342000, 2.058620
0.343000, 2.064053
0.344000, 2.070098
0.345000, 2.076404
0.346000, 2.081537
0.347000, 2.087693
0.348000, 2.094121
0.349000, 2.099841
0.350000, 2.105774
0.351000, 2.111640
0.352000, 2.117158
0.353000, 2.121984
0.354000, 2.128262
0.355000, 2.135259
0.356000, 2.143038
0.357000, 2.147894
0.358000, 2.155003
0.359000, 2.159510
0.360000, 2.164769
0.361000, 2.170941
0.362000, 2.177840
0.363000, 2.183813
0.364000, 2.188798
0.365000, 2.194640
0.366000, 2.201136
0.367000, 2.205673
0.368000, 2.211519
0.369000, 2.217530
0.370000, 2.222431
0.371000, 2.230889
0.372000, 2.237518
0.373000, 2.244285
0.374000, 2.248787
0.375000, 2.255569
0.376000, 2.264489
0.377000, 2.269643
0.378000, 2.272601
0.379000, 2.280003
0.380000, 2.287963
0.381000, 2.294689
0.382000, 2.300764
0.383000, 2.308166
0.384000, 2.313072
0.385000, 2.320051
0.386000, 2.327936
0.387000, 2.335122
0.388000, 2.343003
0.389000, 2.350271
0.390000, 2.353855
0.391000, 2.357691
0.392000, 2.364914
0.393000, 2.372360
0.394000, 2.376552
0.395000, 2.383243
0.396000, 2.389184
0.397000, 2.393520
0.398000, 2.400696
0.399000, 2.406033
0.400000, 2.412961
0.401000, 2.418525
0.402000, 2.425849
0.403000, 2.432498
0.404000, 2.436071
0.405000, 2.441909
0.406000, 2.449156
0.407000, 2.455129
0.408000, 2.461746
0.409000, 2.469403
0.410000, 2.477585
0.411000, 2.484062
0.412000, 2.491163
0.413000, 2.497083
0.414000, 2.504015
0.415000, 2.512894
0.416000, 2.518962
0.417000, 2.525299
0.418000, 2.531383
0.419000, 2.539911
0.420000, 2.547391
0.421000, 2.552615
0.422000, 2.557013
0.423000, 2.561187
0.424000, 2.566557
0.425000, 2.574323
0.426000, 2.581379
0.427000, 2.587259
0.428000, 2.595407
0.429000, 2.601028
0.430000, 2.606738
0.431000, 2.608619
0.432000, 2.615217
0.433000, 2.620077
0.434000, 2.625771
0.435000, 2.632281
0.436000, 2.638043
0.437000, 2.645592
0.438000, 2.652800
0.439000, 2.658097
0.440000, 2.665833
0.441000, 2.669699
0.442000, 2.675308
0.443000, 2.678309
0.444000, 2.685282
0.445000, 2.691861
0.446000, 2.697468
0.447000, 2.703679
0.448000, 2.708403
0.449000, 2.714429
0.450000, 2.720700
0.451000, 2.728595
0.452000, 2.732797
0.453000, 2.738862
0.454000, 2.744426
0.455000, 2.749838
0.456000, 2.755585
0.457000, 2.760301
0.458000, 2.766624
0.459000, 2.773420
0.460000, 2.780157
0.461000, 2.786890
0.462000, 2.793002
0.463000, 2.799765
0.464000, 2.805374
0.465000, 2.810697
0.466000, 2.815378
0.467000, 2.821731
0.468000, 2.828234
0.469000, 2.834509
0.470000, 2.840124
0.471000, 2.846800
0.472000, 2.849413
0.473000, 2.856170
0.474000, 2.860940
0.475000, 2.867714
0.476000, 2.873237
0.477000, 2.881674
0.478000, 2.886348
0.479000, 2.893708
0.480000, 2.899715
0.481000, 2.906897
0.482000, 2.913588
0.483000, 2.918972
0.484000, 2.923073
0.485000, 2.930948
0.486000, 2.936583
0.487000, 2.942118
0.488000, 2.948453
0.489000, 2.956574
0.490000, 2.961398
0.491000, 2.970353
0.492000, 2.976588
0.493000, 2.980247
0.494000, 2.985084
0.495000, 2.993392
0.496000, 2.999898
0.497000, 3.005874
0.498000, 3.013541
0.499000, 3.019252
0.500000, 3.025326
0.501000, 3.030072
0.502000, 3.034599
0.503000, 3.041166
0.504000, 3.048498
0.505000, 3.053742
0.506000, 3.059425
0.507000, 3.064692
0.508000, 3.070225
0.509000, 3.075593
0.510000, 3.080507
0.511000, 3.083711
0.512000, 3.091751
0.513000, 3.097296
0.514000, 3.104296
0.515000, 3.111302
0.516000, 3.116079
0.517000, 3.122093
0.518000, 3.129170
0.519000, 3.135093
0.520000, 3.140953
0.521000, 3.146694
0.522000, 3.150505
0.523000, 3.158372
0.524000, 3.163646
0.525000, 3.171000
0.526000, 3.177283
0.527000, 3.185264
0.528000, 3.190722
0.529000, 3.194459
0.530000, 3.201459
0.531000, 3.204863
0.532000, 3.208551
0.533000, 3.216392
0.534000, 3.222731
0.535000, 3.229134
0.536000, 3.231856
0.537000, 3.235620
0.538000, 3.242614
0.539000, 3.250764
0.540000, 3.255850
0.541000, 3.261628
0.542000, 3.268979
0.543000, 3.274555
0.544000, 3.280973
0.545000, 3.287301
0.546000, 3.290464
0.547000, 3.295103
0.548000, 3.299572
0.549000, 3.305543
0.550000, 3.313755
0.551000, 3.318931
0.552000, 3.327027
0.553000, 3.332384
0.554000, 3.339094
0.555000, 3.341930
0.556000, 3.345171
0.557000, 3.349872
0.558000, 3.353932
0.559000, 3.357454
0.560000, 3.365142
0.561000, 3.373010
0.562000, 3.375266
0.563000, 3.382098
0.564000, 3.386872
0.565000, 3.390520
0.566000, 3.395137
0.567000, 3.402486
0.568000, 3.408304
0.569000, 3.411834
0.570000, 3.419500
0.571000, 3.423955
0.572000, 3.432833
0.573000, 3.438451
0.574000, 3.443063
0.575000, 3.450022
0.576000, 3.455365
0.577000, 3.459905
0.578000, 3.466549
0.579000, 3.475189
0.580000, 3.482485
0.581000, 3.488907
0.582000, 3.495967
0.583000, 3.503300
0.584000, 3.508349
0.585000, 3.515239
0.586000, 3.522067
0.587000, 3.526240
0.588000, 3.531690
0.589000, 3.537086
0.590000, 3.542649
0.591000, 3.546403
0.592000, 3.551789
0.593000, 3.558112
0.594000, 3.566080
0.595000, 3.574629
0.596000, 3.580082
0.597000, 3.588133
0.598000, 3.592695
0.599000, 3.596531
0.600000, 3.603386
0.601000, 3.610146
0.602000, 3.617849
0.603000, 3.623387
0.604000, 3.628938
0.605000, 3.636440
0.606000, 3.638946
0.607000, 3.644845
0.608000, 3.650880
0.609000, 3.656454
0.610000, 3.662143
0.611000, 3.667793
0.612000, 3.670596
0.613000, 3.673496
0.614000, 3.678093
0.615000, 3.685255
0.616000, 3.693217
0.617000, 3.699247
0.618000, 3.703622
0.619000, 3.707411
0.620000, 3.710760
0.621000, 3.717017
0.622000, 3.722562
0.623000, 3.730061
0.624000, 3.737303
0.625000, 3.742866
0.626000, 3.749254
0.627000, 3.757127
0.628000, 3.760497
0.629000, 3.767985
0.630000, 3.772035
0.631000, 3.777941
0.632000, 3.784517
0.633000, 3.792445
0.634000, 3.799266
0.635000, 3.805691
0.636000, 3.813803
0.637000, 3.820363
0.638000, 3.826250
0.639000, 3.831691
0.640000, 3.842611
0.641000, 3.847142
0.642000, 3.852413
0.643000, 3.857466
0.644000, 3.865181
0.645000, 3.876078
0.646000, 3.882732
0.647000, 3.889307
0.648000, 3.894983
0.649000, 3.900057
0.650000, 3.906787
0.651000, 3.912167
0.652000, 3.916445
0.653000, 3.924355
0.654000, 3.929605
0.655000, 3.935322
0.656000, 3.940618
0.657000, 3.945160
0.658000, 3.953604
0.659000, 3.959405
0.660000, 3.965143
0.661000, 3.973184
0.662000, 3.977387
0.663000, 3.983012
0.664000, 3.989295
0.665000, 3.996372
0.666000, 4.005653
0.667000, 4.010199
0.668000, 4.017028
0.669000, 4.022299
0.670000, 4.023825
0.671000, 4.027593
0.672000, 4.036060
0.673000, 4.042297
0.674000, 4.048453
0.675000, 4.052060
0.676000, 4.060952
0.677000, 4.067466
0.678000, 4.072116
0.679000, 4.073916
0.680000, 4.079786
0.681000, 4.084434
0.682000, 4.088905
0.683000, 4.094315
0.684000, 4.100947
0.685000, 4.108121
0.686000, 4.112471
0.687000, 4.119549
0.688000, 4.126342
0.689000, 4.131222
0.690000, 4.139959
0.691000, 4.146641
0.692000, 4.151481
0.693000, 4.159635
0.694000, 4.164589
0.695000, 4.169858
0.696000, 4.175687
0.697000, 4.182729
0.698000, 4.186983
0.699000, 4.189154
0.700000, 4.194622
0.701000, 4.197051
0.702000, 4.203283
0.703000, 4.205486
0.704000, 4.212504
0.705000, 4.219366
0.706000, 4.221511
0.707000, 4.227807
0.708000, 4.233134
0.709000, 4.236062
0.710000, 4.243364
0.711000, 4.248760
0.712000, 4.254944
0.713000, 4.259303
0.714000, 4.262104
0.715000, 4.266306
0.716000, 4.272446
0.717000, 4.279194
0.718000, 4.287751
0.719000, 4.294864
0.720000, 4.301887
0.721000, 4.303818
0.722000, 4.310499
0.723000, 4.317036
0.724000, 4.322128
0.725000, 4.326390
0.726000, 4.329148
0.727000, 4.336987
0.728000, 4.342255
0.729000, 4.345265
0.730000, 4.349470
0.731000, 4.357040
0.732000, 4.362036
0.733000, 4.367696
0.734000, 4.375992
0.735000, 4.383222
0.736000, 4.390023
0.737000, 4.398542
0.738000, 4.403958
0.739000, 4.412740
0.740000, 4.416951
0.741000, 4.428286
0.742000, 4.433736
0.743000, 4.441093
0.744000, 4.443720
0.745000, 4.448438
0.746000, 4.456097
0.747000, 4.459393
0.748000, 4.467165
0.749000, 4.474078
0.750000, 4.479784
0.751000, 4.487421
0.752000, 4.491872
0.753000, 4.497388
0.754000, 4.504534
0.755000, 4.511187
0.756000, 4.512696
0.757000, 4.518995
0.758000, 4.521444
0.759000, 4.527311
0.760000, 4.534127
0.761000, 4.540754
0.762000, 4.542626
0.763000, 4.548072
0.764000, 4.550054
0.765000, 4.554765
0.766000, 4.559892
0.767000, 4.567506
0.768000, 4.572427
0.769000, 4.578559
0.770000, 4.583779
0.771000, 4.586312
0.772000, 4.594394
0.773000, 4.598785
0.774000, 4.602916
0.775000, 4.607298
0.776000, 4.613322
