#17.850414
Time, MSD
0.000000, 0.006057
0.001000, 0.012182
0.002000, 0.017951
0.003000, 0.024114
0.004000, 0.030195
0.005000, 0.036144
0.006000, 0.042232
0.007000, 0.048278
0.008000, 0.054569
0.009000, 0.060319
0.010000, 0.066193
0.011000, 0.072068
0.012000, 0.078217
0.013000, 0.084276
0.014000, 0.090467
0.015000, 0.096509
0.016000, 0.103034
0.017000, 0.109198
0.018000, 0.115613
0.019000, 0.121195
0.020000, 0.127343
0.021000, 0.133062
0.022000, 0.138882
0.023000, 0.145425
0.024000, 0.151710
0.025000, 0.158617
0.026000, 0.164250
0.027000, 0.170082
0.028000, 0.176570
0.029000, 0.183095
0.030000, 0.189696
0.031000, 0.196341
0.032000, 0.201947
0.033000, 0.208185
0.034000, 0.214094
0.035000, 0.220005
0.036000, 0.225757
0.037000, 0.232197
0.038000, 0.238102
0.039000, 0.244035
0.040000, 0.250770
0.041000, 0.256076
0.042000, 0.261884
0.043000, 0.268524
0.044000, 0.274253
0.045000, 0.280290
0.046000, 0.286041
0.047000, 0.291080
0.048000, 0.297195
0.049000, 0.302903
0.050000, 0.309084
0.051000, 0.314653
0.052000, 0.320401
0.053000, 0.326128
0.054000, 0.331792
0.055000, 0.338634
0.056000, 0.343724
0.057000, 0.349932
0.058000, 0.356692
0.059000, 0.362647
0.060000, 0.367900
0.061000, 0.374140
0.062000, 0.379308
0.063000, 0.385038
0.064000, 0.391621
0.065000, 0.397185
0.066000, 0.403085
0.067000, 0.408676
0.068000, 0.414851
0.069000, 0.420473
0.070000, 0.426599
0.071000, 0.432101
0.072000, 0.437564
0.073000, 0.444420
0.074000, 0.451107
0.075000, 0.457688
0.076000, 0.464361
0.077000, 0.470599
0.078000, 0.476499
0.079000, 0.482717
0.080000, 0.487980
0.081000, 0.494201
0.082000, 0.499780
0.083000, 0.505596
0.084000, 0.511529
0.085000, 0.517945
0.086000, 0.524405
0.087000, 0.529587
0.088000, 0.536245
0.089000, 0.541950
0.090000, 0.548413
0.091000, 0.554676
0.092000, 0.560278
0.093000, 0.566086
0.094000, 0.571516
0.095000, 0.577413
0.096000, 0.583551
0.097000, 0.589892
0.098000, 0.595232
0.099000, 0.601475
0.100000, 0.606973
0.101000, 0.612901
0.102000, 0.618291
0.103000, 0.624291
0.104000, 0.630694
0.105000, 0.637796
0.106000, 0.642872
0.107000, 0.648599
0.108000, 0.654821
0.109000, 0.661098
0.110000, 0.667612
0.111000, 0.673204
0.112000, 0.679788
0.113000, 0.684704
0.114000, 0.690280
0.115000, 0.696304
0.116000, 0.700835
0.117000, 0.707720
0.118000, 0.714017
0.119000, 0.720433
0.120000, 0.726274
0.121000, 0.733098
0.122000, 0.739251
0.123000, 0.745918
0.124000, 0.750964
0.125000, 0.756876
0.126000, 0.764292
0.127000, 0.769976
0.128000, 0.777395
0.129000, 0.782347
0.130000, 0.789306
0.131000, 0.794586
0.132000, 0.799979
0.133000, 0.806681
0.134000, 0.812358
0.135000, 0.819100
0.136000, 0.824656
0.137000, 0.831797
0.138000, 0.838075
0.139000, 0.843091
0.140000, 0.848252
0.141000, 0.853965
0.142000, 0.859959
0.143000, 0.865285
0.144000, 0.871439
0.145000, 0.877260
0.146000, 0.883382
0.147000, 0.890055
0.148000, 0.895883
0.149000, 0.900951
0.150000, 0.907486
0.151000, 0.914182
0.152000, 0.919522
0.153000, 0.926565
0.154000, 0.932331
0.155000, 0.939353
0.156000, 0.946020
0.157000, 0.951338
0.158000, 0.956875
0.159000, 0.963213
0.160000, 0.968185
0.161000, 0.973460
0.162000, 0.980016
0.163000, 0.985760
0.164000, 0.991569
0.165000, 0.996956
0.166000, 1.002840
0.167000, 1.009585
0.168000, 1.015255
0.169000, 1.021212
0.170000, 1.026473
0.171000, 1.033997
0.172000, 1.041464
0.173000, 1.046725
0.174000, 1.052541
0.175000, 1.057482
0.176000, 1.063669
0.177000, 1.070779
0.178000, 1.077707
0.179000, 1.082264
0.180000, 1.087952
0.181000, 1.094609
0.182000, 1.100843
0.183000, 1.105800
0.184000, 1.113527
0.185000, 1.119506
0.186000, 1.125451
0.187000, 1.130549
0.188000, 1.135229
0.189000, 1.141855
0.190000, 1.148000
0.191000, 1.153635
0.192000, 1.159050
0.193000, 1.165088
0.194000, 1.171305
0.195000, 1.177168
0.196000, 1.182635
0.197000, 1.189354
0.198000, 1.194782
0.199000, 1.201321
0.200000, 1.206979
0.201000, 1.213023
0.202000, 1.219486
0.203000, 1.226384
0.204000, 1.232518
0.205000, 1.238434
0.206000, 1.242996
0.207000, 1.247995
0.208000, 1.254523
0.209000, 1.259620
0.210000, 1.266097
0.211000, 1.273953
0.212000, 1.279492
0.213000, 1.286388
0.214000, 1.291625
0.215000, 1.298899
0.216000, 1.304636
0.217000, 1.310503
0.218000, 1.316009
0.219000, 1.321382
0.220000, 1.325386
0.221000, 1.331351
0.222000, 1.337772
0.223000, 1.342096
0.224000, 1.350139
0.225000, 1.356991
0.226000, 1.364872
0.227000, 1.372305
0.228000, 1.378733
0.229000, 1.384202
