# Time elapsed: 18.082797
Time, MSD
0.000000, 0.006090
0.001000, 0.012179
0.002000, 0.018215
0.003000, 0.024073
0.004000, 0.029929
0.005000, 0.035772
0.006000, 0.041728
0.007000, 0.047721
0.008000, 0.053738
0.009000, 0.059424
0.010000, 0.065691
0.011000, 0.071529
0.012000, 0.077351
0.013000, 0.083227
0.014000, 0.089393
0.015000, 0.095446
0.016000, 0.100846
0.017000, 0.106945
0.018000, 0.112675
0.019000, 0.118316
0.020000, 0.124490
0.021000, 0.130392
0.022000, 0.136867
0.023000, 0.143091
0.024000, 0.149580
0.025000, 0.155657
0.026000, 0.161414
0.027000, 0.166822
0.028000, 0.172411
0.029000, 0.178269
0.030000, 0.184186
0.031000, 0.189632
0.032000, 0.194664
0.033000, 0.200314
0.034000, 0.206471
0.035000, 0.212925
0.036000, 0.218933
0.037000, 0.224668
0.038000, 0.230597
0.039000, 0.237277
0.040000, 0.243992
0.041000, 0.250257
0.042000, 0.255893
0.043000, 0.262219
0.044000, 0.267765
0.045000, 0.273300
0.046000, 0.278927
0.047000, 0.284276
0.048000, 0.289641
0.049000, 0.295820
0.050000, 0.301800
0.051000, 0.307880
0.052000, 0.314068
0.053000, 0.320485
0.054000, 0.326835
0.055000, 0.332952
0.056000, 0.338800
0.057000, 0.344824
0.058000, 0.350674
0.059000, 0.356221
0.060000, 0.362750
0.061000, 0.368416
0.062000, 0.374272
0.063000, 0.379889
0.064000, 0.386887
0.065000, 0.391950
0.066000, 0.398903
0.067000, 0.405046
0.068000, 0.411995
0.069000, 0.418128
0.070000, 0.424334
0.071000, 0.429917
0.072000, 0.435326
0.073000, 0.441341
0.074000, 0.446149
0.075000, 0.452727
0.076000, 0.458218
0.077000, 0.463808
0.078000, 0.469608
0.079000, 0.475470
0.080000, 0.480937
0.081000, 0.485881
0.082000, 0.491813
0.083000, 0.498300
0.084000, 0.503468
0.085000, 0.509430
0.086000, 0.515922
0.087000, 0.522906
0.088000, 0.529427
0.089000, 0.535846
0.090000, 0.543027
0.091000, 0.548750
0.092000, 0.555265
0.093000, 0.560096
0.094000, 0.566225
0.095000, 0.572490
0.096000, 0.578255
0.097000, 0.584268
0.098000, 0.590244
0.099000, 0.596943
0.100000, 0.603737
0.101000, 0.608920
0.102000, 0.614563
0.103000, 0.620125
0.104000, 0.625397
0.105000, 0.631260
0.106000, 0.635963
0.107000, 0.641236
0.108000, 0.646636
0.109000, 0.652206
0.110000, 0.657785
0.111000, 0.663243
0.112000, 0.669133
0.113000, 0.675814
0.114000, 0.682272
0.115000, 0.686809
0.116000, 0.692783
0.117000, 0.697967
0.118000, 0.705113
0.119000, 0.711864
0.120000, 0.717146
0.121000, 0.721346
0.122000, 0.727192
0.123000, 0.732788
0.124000, 0.738186
0.125000, 0.744698
0.126000, 0.751001
0.127000, 0.756242
0.128000, 0.761175
0.129000, 0.767790
0.130000, 0.773464
0.131000, 0.777983
0.132000, 0.783762
0.133000, 0.789600
0.134000, 0.796555
0.135000, 0.802400
0.136000, 0.809613
0.137000, 0.815386
0.138000, 0.821968
0.139000, 0.828392
0.140000, 0.834366
0.141000, 0.840985
0.142000, 0.845287
0.143000, 0.852942
0.144000, 0.858889
0.145000, 0.865722
0.146000, 0.873156
0.147000, 0.878300
0.148000, 0.884572
0.149000, 0.890951
0.150000, 0.898214
0.151000, 0.904039
0.152000, 0.910154
0.153000, 0.916849
0.154000, 0.923335
0.155000, 0.930178
0.156000, 0.936612
0.157000, 0.944028
0.158000, 0.949188
0.159000, 0.954844
0.160000, 0.960261
0.161000, 0.965787
0.162000, 0.973170
0.163000, 0.978615
0.164000, 0.984021
0.165000, 0.989283
0.166000, 0.994348
0.167000, 0.999795
0.168000, 1.006165
0.169000, 1.009503
0.170000, 1.015307
0.171000, 1.021848
0.172000, 1.029155
0.173000, 1.033863
0.174000, 1.040331
0.175000, 1.045771
0.176000, 1.052419
0.177000, 1.057499
0.178000, 1.062558
0.179000, 1.067845
0.180000, 1.074423
0.181000, 1.081463
0.182000, 1.087643
0.183000, 1.093792
0.184000, 1.099010
0.185000, 1.105904
0.186000, 1.109890
0.187000, 1.117222
0.188000, 1.123894
0.189000, 1.130660
0.190000, 1.134838
0.191000, 1.140432
0.192000, 1.145899
0.193000, 1.152544
0.194000, 1.158768
0.195000, 1.164255
0.196000, 1.170063
0.197000, 1.176008
0.198000, 1.181578
0.199000, 1.186775
0.200000, 1.191970
0.201000, 1.198263
0.202000, 1.204249
0.203000, 1.210032
0.204000, 1.216221
0.205000, 1.222502
0.206000, 1.227855
0.207000, 1.234044
0.208000, 1.240221
0.209000, 1.246558
0.210000, 1.251729
0.211000, 1.257323
0.212000, 1.263880
0.213000, 1.270167
0.214000, 1.274758
0.215000, 1.279626
0.216000, 1.286573
0.217000, 1.292827
0.218000, 1.297695
0.219000, 1.304945
0.220000, 1.310929
0.221000, 1.316652
0.222000, 1.323415
0.223000, 1.330074
0.224000, 1.335019
0.225000, 1.340298
0.226000, 1.347867
0.227000, 1.354023
0.228000, 1.359427
0.229000, 1.364780
