# Time elapsed: 67.852125
Time, MSD
0.000000, 0.006028
0.001000, 0.012116
0.002000, 0.018312
0.003000, 0.024401
0.004000, 0.030248
0.005000, 0.036234
0.006000, 0.042127
0.007000, 0.048092
0.008000, 0.054259
0.009000, 0.060169
0.010000, 0.066044
0.011000, 0.072116
0.012000, 0.077992
0.013000, 0.083639
0.014000, 0.089566
0.015000, 0.095475
0.016000, 0.101884
0.017000, 0.107800
0.018000, 0.113604
0.019000, 0.119776
0.020000, 0.125666
0.021000, 0.131694
0.022000, 0.137892
0.023000, 0.144426
0.024000, 0.150592
0.025000, 0.156224
0.026000, 0.162619
0.027000, 0.169092
0.028000, 0.175113
0.029000, 0.181325
0.030000, 0.186534
0.031000, 0.192778
0.032000, 0.199215
0.033000, 0.204715
0.034000, 0.209781
0.035000, 0.216167
0.036000, 0.223160
0.037000, 0.229148
0.038000, 0.235022
0.039000, 0.241826
0.040000, 0.248238
0.041000, 0.253565
0.042000, 0.259333
0.043000, 0.265205
0.044000, 0.270772
0.045000, 0.277029
0.046000, 0.282688
0.047000, 0.288302
0.048000, 0.294458
0.049000, 0.300930
0.050000, 0.307276
0.051000, 0.313897
0.052000, 0.320017
0.053000, 0.326059
0.054000, 0.332375
0.055000, 0.337948
0.056000, 0.344471
0.057000, 0.351090
0.058000, 0.357560
0.059000, 0.363408
0.060000, 0.370235
0.061000, 0.375367
0.062000, 0.381918
0.063000, 0.387944
0.064000, 0.394267
0.065000, 0.400461
0.066000, 0.405065
0.067000, 0.411138
0.068000, 0.418917
0.069000, 0.425511
0.070000, 0.432183
0.071000, 0.437586
0.072000, 0.443703
0.073000, 0.449751
0.074000, 0.456517
0.075000, 0.462645
0.076000, 0.470507
0.077000, 0.476534
0.078000, 0.481404
0.079000, 0.487358
0.080000, 0.494439
0.081000, 0.500246
0.082000, 0.506229
0.083000, 0.511491
0.084000, 0.518651
0.085000, 0.524661
0.086000, 0.531481
0.087000, 0.536721
0.088000, 0.542590
0.089000, 0.548572
0.090000, 0.553692
0.091000, 0.560896
0.092000, 0.566714
0.093000, 0.573415
0.094000, 0.578712
0.095000, 0.585504
0.096000, 0.591917
0.097000, 0.597598
0.098000, 0.603988
0.099000, 0.610146
0.100000, 0.617725
0.101000, 0.624014
0.102000, 0.631067
0.103000, 0.636380
0.104000, 0.642022
0.105000, 0.648196
0.106000, 0.654704
0.107000, 0.661613
0.108000, 0.667330
0.109000, 0.673833
0.110000, 0.679948
0.111000, 0.685399
0.112000, 0.689917
0.113000, 0.696162
0.114000, 0.700982
0.115000, 0.707213
0.116000, 0.714608
0.117000, 0.720934
0.118000, 0.727591
0.119000, 0.734394
0.120000, 0.740196
0.121000, 0.745741
0.122000, 0.752307
0.123000, 0.758711
0.124000, 0.764944
0.125000, 0.769709
0.126000, 0.775242
0.127000, 0.782621
0.128000, 0.789282
0.129000, 0.795039
0.130000, 0.800452
0.131000, 0.805034
0.132000, 0.811894
0.133000, 0.818835
0.134000, 0.824826
0.135000, 0.831038
0.136000, 0.837019
0.137000, 0.841860
0.138000, 0.848616
0.139000, 0.855534
0.140000, 0.861838
0.141000, 0.867812
0.142000, 0.875214
0.143000, 0.880674
0.144000, 0.886167
0.145000, 0.892435
0.146000, 0.899887
0.147000, 0.905399
0.148000, 0.910314
0.149000, 0.915555
0.150000, 0.924175
0.151000, 0.930286
0.152000, 0.936795
0.153000, 0.944819
0.154000, 0.951749
0.155000, 0.958454
0.156000, 0.963688
0.157000, 0.969798
0.158000, 0.974533
0.159000, 0.981530
0.160000, 0.986959
0.161000, 0.992309
0.162000, 0.998892
0.163000, 1.004645
0.164000, 1.011726
0.165000, 1.018252
0.166000, 1.022105
0.167000, 1.026868
0.168000, 1.033410
0.169000, 1.040126
0.170000, 1.048115
0.171000, 1.052312
0.172000, 1.058431
0.173000, 1.064186
0.174000, 1.069912
0.175000, 1.077310
0.176000, 1.082148
0.177000, 1.086413
0.178000, 1.091211
0.179000, 1.098002
0.180000, 1.104271
0.181000, 1.110499
0.182000, 1.116511
0.183000, 1.123162
0.184000, 1.130046
0.185000, 1.134339
0.186000, 1.141882
0.187000, 1.148472
0.188000, 1.154168
0.189000, 1.160714
0.190000, 1.166008
0.191000, 1.171190
0.192000, 1.175976
0.193000, 1.181923
0.194000, 1.187815
0.195000, 1.193451
0.196000, 1.197446
0.197000, 1.202081
0.198000, 1.207951
0.199000, 1.212580
0.200000, 1.217567
0.201000, 1.224900
0.202000, 1.231168
0.203000, 1.237448
0.204000, 1.244866
0.205000, 1.251150
0.206000, 1.257650
0.207000, 1.262606
0.208000, 1.267760
0.209000, 1.274960
0.210000, 1.281023
0.211000, 1.287378
0.212000, 1.293127
0.213000, 1.301280
0.214000, 1.307644
0.215000, 1.314238
0.216000, 1.319647
0.217000, 1.325785
0.218000, 1.332415
0.219000, 1.337972
0.220000, 1.342211
0.221000, 1.346573
0.222000, 1.351266
0.223000, 1.358103
0.224000, 1.364978
0.225000, 1.372051
0.226000, 1.378530
0.227000, 1.385907
0.228000, 1.394094
0.229000, 1.400250
0.230000, 1.405522
0.231000, 1.411960
0.232000, 1.418902
0.233000, 1.423748
0.234000, 1.430724
0.235000, 1.437511
0.236000, 1.445135
0.237000, 1.451633
0.238000, 1.458732
0.239000, 1.465491
0.240000, 1.471445
0.241000, 1.477416
0.242000, 1.483344
0.243000, 1.489113
0.244000, 1.497216
0.245000, 1.503932
0.246000, 1.512051
0.247000, 1.518108
0.248000, 1.524314
0.249000, 1.532501
0.250000, 1.538397
0.251000, 1.545189
0.252000, 1.551534
0.253000, 1.556862
0.254000, 1.564458
0.255000, 1.571065
0.256000, 1.576416
0.257000, 1.581153
0.258000, 1.588524
0.259000, 1.593923
0.260000, 1.600436
0.261000, 1.607903
0.262000, 1.614184
0.263000, 1.622097
0.264000, 1.627633
0.265000, 1.633009
0.266000, 1.642474
0.267000, 1.648020
0.268000, 1.654415
0.269000, 1.660161
0.270000, 1.665105
0.271000, 1.672171
0.272000, 1.676806
0.273000, 1.683426
0.274000, 1.690767
0.275000, 1.698201
0.276000, 1.704224
0.277000, 1.709571
0.278000, 1.716406
0.279000, 1.724305
0.280000, 1.732993
0.281000, 1.736315
0.282000, 1.741571
0.283000, 1.748314
0.284000, 1.752501
0.285000, 1.758653
0.286000, 1.763424
0.287000, 1.767749
0.288000, 1.773786
0.289000, 1.776583
0.290000, 1.783082
0.291000, 1.790227
0.292000, 1.796206
0.293000, 1.802654
0.294000, 1.809686
0.295000, 1.816251
0.296000, 1.822200
0.297000, 1.830149
0.298000, 1.837032
0.299000, 1.844088
0.300000, 1.849244
0.301000, 1.851163
0.302000, 1.856943
0.303000, 1.863752
0.304000, 1.870052
0.305000, 1.875837
0.306000, 1.880644
0.307000, 1.888508
0.308000, 1.895842
0.309000, 1.900552
0.310000, 1.905486
0.311000, 1.910739
0.312000, 1.916779
0.313000, 1.922106
0.314000, 1.928167
0.315000, 1.935349
0.316000, 1.941789
0.317000, 1.949161
0.318000, 1.954127
0.319000, 1.960463
0.320000, 1.967323
0.321000, 1.972900
0.322000, 1.977180
0.323000, 1.983529
0.324000, 1.988797
0.325000, 1.994562
0.326000, 2.002288
0.327000, 2.008826
0.328000, 2.015500
0.329000, 2.022124
0.330000, 2.027756
0.331000, 2.034125
0.332000, 2.041116
0.333000, 2.047301
0.334000, 2.050863
0.335000, 2.055512
0.336000, 2.061943
0.337000, 2.067201
0.338000, 2.074534
0.339000, 2.079684
0.340000, 2.085677
0.341000, 2.092396
0.342000, 2.100167
0.343000, 2.106246
0.344000, 2.109619
0.345000, 2.114621
0.346000, 2.121807
0.347000, 2.128277
0.348000, 2.137399
0.349000, 2.145052
0.350000, 2.149651
0.351000, 2.157257
0.352000, 2.162613
0.353000, 2.171366
0.354000, 2.178479
0.355000, 2.185742
0.356000, 2.191635
0.357000, 2.199439
0.358000, 2.204438
0.359000, 2.209490
0.360000, 2.215793
0.361000, 2.219058
0.362000, 2.223717
0.363000, 2.230488
0.364000, 2.235414
0.365000, 2.240853
0.366000, 2.245917
0.367000, 2.249524
0.368000, 2.257078
0.369000, 2.262117
0.370000, 2.268019
0.371000, 2.275106
0.372000, 2.282341
0.373000, 2.289357
0.374000, 2.293935
0.375000, 2.300387
0.376000, 2.305909
0.377000, 2.310950
0.378000, 2.313343
0.379000, 2.319324
0.380000, 2.323149
0.381000, 2.330334
0.382000, 2.335930
0.383000, 2.340996
0.384000, 2.347770
0.385000, 2.353155
0.386000, 2.361935
0.387000, 2.368663
0.388000, 2.374198
0.389000, 2.380401
0.390000, 2.387504
0.391000, 2.394637
0.392000, 2.398499
0.393000, 2.404008
0.394000, 2.412363
0.395000, 2.418829
0.396000, 2.425091
0.397000, 2.431970
0.398000, 2.437003
0.399000, 2.443023
0.400000, 2.451441
0.401000, 2.457423
0.402000, 2.464082
0.403000, 2.469627
0.404000, 2.476763
0.405000, 2.483102
0.406000, 2.488873
0.407000, 2.494911
0.408000, 2.501233
0.409000, 2.506067
0.410000, 2.512059
0.411000, 2.516691
0.412000, 2.520752
0.413000, 2.527346
0.414000, 2.533031
0.415000, 2.541711
0.416000, 2.546626
0.417000, 2.553779
0.418000, 2.560014
0.419000, 2.566245
0.420000, 2.572613
0.421000, 2.578096
0.422000, 2.583860
0.423000, 2.589794
0.424000, 2.594936
0.425000, 2.600830
0.426000, 2.605625
0.427000, 2.611935
0.428000, 2.615322
0.429000, 2.620467
0.430000, 2.625681
0.431000, 2.632284
0.432000, 2.638141
0.433000, 2.644186
0.434000, 2.649339
0.435000, 2.655856
0.436000, 2.659126
0.437000, 2.664816
0.438000, 2.667983
0.439000, 2.675607
0.440000, 2.683284
0.441000, 2.687933
0.442000, 2.694354
0.443000, 2.702391
0.444000, 2.710670
0.445000, 2.716387
0.446000, 2.719588
0.447000, 2.726086
0.448000, 2.733178
0.449000, 2.735365
0.450000, 2.740108
0.451000, 2.744482
0.452000, 2.750263
0.453000, 2.756898
0.454000, 2.761941
0.455000, 2.768015
0.456000, 2.774223
0.457000, 2.779618
0.458000, 2.784631
0.459000, 2.791325
0.460000, 2.796907
0.461000, 2.801937
0.462000, 2.807316
0.463000, 2.813196
0.464000, 2.819631
0.465000, 2.825957
0.466000, 2.831970
0.467000, 2.835563
0.468000, 2.841796
0.469000, 2.846576
0.470000, 2.855022
0.471000, 2.859203
0.472000, 2.862079
0.473000, 2.868897
0.474000, 2.877013
0.475000, 2.880025
0.476000, 2.886703
0.477000, 2.890978
0.478000, 2.897722
0.479000, 2.901985
0.480000, 2.908385
0.481000, 2.914915
0.482000, 2.922765
0.483000, 2.928389
0.484000, 2.933487
0.485000, 2.941853
0.486000, 2.944029
0.487000, 2.949450
0.488000, 2.956121
0.489000, 2.962595
0.490000, 2.968984
