#66.794381
Time, MSD
0.000000, 0.005968
0.001000, 0.011933
0.002000, 0.017895
0.003000, 0.023729
0.004000, 0.029805
0.005000, 0.035763
0.006000, 0.041848
0.007000, 0.047869
0.008000, 0.053946
0.009000, 0.059717
0.010000, 0.066015
0.011000, 0.072228
0.012000, 0.077994
0.013000, 0.083928
0.014000, 0.089613
0.015000, 0.095963
0.016000, 0.101680
0.017000, 0.107416
0.018000, 0.113498
0.019000, 0.119365
0.020000, 0.125745
0.021000, 0.131572
0.022000, 0.137606
0.023000, 0.143574
0.024000, 0.150325
0.025000, 0.156241
0.026000, 0.161873
0.027000, 0.167788
0.028000, 0.173004
0.029000, 0.179361
0.030000, 0.185541
0.031000, 0.191313
0.032000, 0.196890
0.033000, 0.203471
0.034000, 0.209385
0.035000, 0.215197
0.036000, 0.220989
0.037000, 0.226259
0.038000, 0.232547
0.039000, 0.238733
0.040000, 0.244619
0.041000, 0.250179
0.042000, 0.256513
0.043000, 0.262752
0.044000, 0.269173
0.045000, 0.274732
0.046000, 0.280193
0.047000, 0.286601
0.048000, 0.292368
0.049000, 0.298114
0.050000, 0.304041
0.051000, 0.310943
0.052000, 0.316027
0.053000, 0.322285
0.054000, 0.328979
0.055000, 0.334745
0.056000, 0.341428
0.057000, 0.347407
0.058000, 0.353197
0.059000, 0.358852
0.060000, 0.365069
0.061000, 0.370557
0.062000, 0.376049
0.063000, 0.381861
0.064000, 0.388503
0.065000, 0.394932
0.066000, 0.400997
0.067000, 0.407131
0.068000, 0.413433
0.069000, 0.419746
0.070000, 0.426505
0.071000, 0.432930
0.072000, 0.438754
0.073000, 0.443721
0.074000, 0.450575
0.075000, 0.456437
0.076000, 0.463063
0.077000, 0.468238
0.078000, 0.473776
0.079000, 0.479567
0.080000, 0.485507
0.081000, 0.492031
0.082000, 0.498160
0.083000, 0.503302
0.084000, 0.510278
0.085000, 0.517439
0.086000, 0.523956
0.087000, 0.529712
0.088000, 0.535759
0.089000, 0.541384
0.090000, 0.546640
0.091000, 0.552646
